Date,Actual
2024-12-11,0.027000000000000003
2024-11-13,0.026000000000000002
2024-10-10,0.024
2024-09-11,0.025
2024-08-14,0.028999999999999998
2024-07-11,0.03
2024-06-12,0.033
2024-05-15,0.034
2024-04-10,0.035
2024-03-12,0.032
2024-02-13,0.031
2024-01-11,0.034
2023-12-12,0.031
2023-11-14,0.032
2023-10-12,0.037000000000000005
2023-09-13,0.037000000000000005
2023-08-10,0.032
2023-07-12,0.03
2023-06-13,0.04
2023-05-10,0.049
2023-04-12,0.05
2023-03-14,0.06
2023-02-14,0.064
2023-01-12,0.065
2022-12-13,0.071
2022-11-10,0.077
2022-10-13,0.08199999999999999
2022-09-13,0.083
2022-08-10,0.085
2022-07-13,0.091
2022-06-10,0.086
2022-05-11,0.083
2022-04-12,0.085
2022-03-10,0.079
2022-02-10,0.075
2022-01-12,0.07
2021-12-10,0.068
2021-11-10,0.062
2021-10-13,0.054000000000000006
2021-09-14,0.053
2021-08-11,0.054000000000000006
2021-07-13,0.054000000000000006
2021-06-10,0.05
2021-05-12,0.042
2021-04-13,0.026000000000000002
2021-03-10,0.017
2021-02-10,0.013999999999999999
2021-01-13,0.013999999999999999
2020-12-10,0.012
2020-11-12,0.012
2020-10-13,0.013999999999999999
2020-09-11,0.013000000000000001
2020-08-12,0.01
2020-07-14,0.006
2020-06-10,0.001
2020-05-12,0.003
2020-04-10,0.015
2020-03-11,0.023
2020-02-13,0.025
2020-01-14,0.023
