Year,Month,Day,Leading_index
2000,1,1,101.3717
2000,1,2,101.3717
2000,1,3,101.3717
2000,1,4,101.3717
2000,1,5,101.3717
2000,1,6,101.3717
2000,1,7,101.3717
2000,1,8,101.3717
2000,1,9,101.3717
2000,1,10,101.3717
2000,1,11,101.3717
2000,1,12,101.3717
2000,1,13,101.3717
2000,1,14,101.3717
2000,1,15,101.3717
2000,1,16,101.3717
2000,1,17,101.3717
2000,1,18,101.3717
2000,1,19,101.3717
2000,1,20,101.3717
2000,1,21,101.3717
2000,1,22,101.3717
2000,1,23,101.3717
2000,1,24,101.3717
2000,1,25,101.3717
2000,1,26,101.3717
2000,1,27,101.3717
2000,1,28,101.3717
2000,1,29,101.3717
2000,1,30,101.3717
2000,1,31,101.3717
2000,2,1,101.3058
2000,2,2,101.3058
2000,2,3,101.3058
2000,2,4,101.3058
2000,2,5,101.3058
2000,2,6,101.3058
2000,2,7,101.3058
2000,2,8,101.3058
2000,2,9,101.3058
2000,2,10,101.3058
2000,2,11,101.3058
2000,2,12,101.3058
2000,2,13,101.3058
2000,2,14,101.3058
2000,2,15,101.3058
2000,2,16,101.3058
2000,2,17,101.3058
2000,2,18,101.3058
2000,2,19,101.3058
2000,2,20,101.3058
2000,2,21,101.3058
2000,2,22,101.3058
2000,2,23,101.3058
2000,2,24,101.3058
2000,2,25,101.3058
2000,2,26,101.3058
2000,2,27,101.3058
2000,2,28,101.3058
2000,2,29,101.3058
2000,3,1,101.2088
2000,3,2,101.2088
2000,3,3,101.2088
2000,3,4,101.2088
2000,3,5,101.2088
2000,3,6,101.2088
2000,3,7,101.2088
2000,3,8,101.2088
2000,3,9,101.2088
2000,3,10,101.2088
2000,3,11,101.2088
2000,3,12,101.2088
2000,3,13,101.2088
2000,3,14,101.2088
2000,3,15,101.2088
2000,3,16,101.2088
2000,3,17,101.2088
2000,3,18,101.2088
2000,3,19,101.2088
2000,3,20,101.2088
2000,3,21,101.2088
2000,3,22,101.2088
2000,3,23,101.2088
2000,3,24,101.2088
2000,3,25,101.2088
2000,3,26,101.2088
2000,3,27,101.2088
2000,3,28,101.2088
