Release Date,Time,Actual,Forecast,Previous,Unnamed: 5
"Dec 06, 2024 (Nov)",08:30,4.2%,4.2%,4.1%,
"Nov 01, 2024 (Oct)",07:30,4.1%,4.1%,4.1%,
"Oct 04, 2024 (Sep)",07:30,4.1%,4.2%,4.2%,
"Sep 06, 2024 (Aug)",07:30,4.2%,4.2%,4.3%,
"Aug 02, 2024 (Jul)",07:30,4.3%,4.1%,4.1%,
"Jul 05, 2024 (Jun)",07:30,4.1%,4.0%,4.0%,
"Jun 07, 2024 (May)",07:30,4.0%,3.9%,3.9%,
"May 03, 2024 (Apr)",07:30,3.9%,3.8%,3.8%,
"Apr 05, 2024 (Mar)",07:30,3.8%,3.9%,3.9%,
"Mar 08, 2024 (Feb)",08:30,3.9%,3.7%,3.7%,
"Feb 02, 2024 (Jan)",08:30,3.7%,3.8%,3.7%,
"Jan 05, 2024 (Dec)",08:30,3.7%,3.8%,3.7%,
"Dec 08, 2023 (Nov)",08:30,3.7%,3.9%,3.9%,
"Nov 03, 2023 (Oct)",07:30,3.9%,3.8%,3.8%,
"Oct 06, 2023 (Sep)",07:30,3.8%,3.7%,3.8%,
"Sep 01, 2023 (Aug)",07:30,3.8%,3.5%,3.5%,
"Aug 04, 2023 (Jul)",07:30,3.5%,3.6%,3.6%,
"Jul 07, 2023 (Jun)",07:30,3.6%,3.6%,3.7%,
"Jun 02, 2023 (May)",07:30,3.7%,3.5%,3.4%,
"May 05, 2023 (Apr)",07:30,3.4%,3.6%,3.5%,
"Apr 07, 2023 (Mar)",07:30,3.5%,3.6%,3.6%,
"Mar 10, 2023 (Feb)",08:30,3.6%,3.4%,3.4%,
"Feb 03, 2023 (Jan)",08:30,3.4%,3.6%,3.5%,
"Jan 06, 2023 (Dec)",08:30,3.5%,3.7%,3.6%,
"Dec 02, 2022 (Nov)",07:30,3.7%,3.7%,3.7%,
"Nov 04, 2022 (Oct)",07:30,3.7%,3.6%,3.5%,
"Oct 07, 2022 (Sep)",07:30,3.5%,3.7%,3.7%,
"Sep 02, 2022 (Aug)",07:30,3.7%,3.5%,3.5%,
"Aug 05, 2022 (Jul)",07:30,3.5%,3.6%,3.6%,
"Jul 08, 2022 (Jun)",07:30,3.6%,3.6%,3.6%,
"Jun 03, 2022 (May)",07:30,3.6%,3.5%,3.6%,
"May 06, 2022 (Apr)",07:30,3.6%,3.5%,3.6%,
"Apr 01, 2022 (Mar)",07:30,3.6%,3.7%,3.8%,
"Mar 04, 2022 (Feb)",08:30,3.8%,3.9%,4.0%,
"Feb 04, 2022 (Jan)",08:30,4.0%,3.9%,3.9%,
"Jan 07, 2022 (Dec)",08:30,3.9%,4.1%,4.2%,
"Dec 03, 2021 (Nov)",08:30,4.2%,4.5%,4.6%,
"Nov 05, 2021 (Oct)",07:30,4.6%,4.7%,4.8%,
"Oct 08, 2021 (Sep)",07:30,4.8%,5.1%,5.2%,
"Sep 03, 2021 (Aug)",07:30,5.2%,5.2%,5.4%,
"Aug 06, 2021 (Jul)",07:30,5.4%,5.7%,5.9%,
"Jul 02, 2021 (Jun)",07:30,5.9%,5.7%,5.8%,
"Jun 04, 2021 (May)",07:30,5.8%,5.9%,6.1%,
"May 07, 2021 (Apr)",07:30,6.1%,5.8%,6.0%,
"Apr 02, 2021 (Mar)",07:30,6.0%,6.0%,6.2%,
"Mar 05, 2021 (Feb)",08:30,6.2%,6.3%,6.3%,
