TIME_PERIOD,OBS_VALUE
1955-01,101.4647
1955-02,101.8241
1955-03,102.1215
1955-04,102.3306
1955-05,102.4513
1955-06,102.4908
1955-07,102.4923
1955-08,102.4767
1955-09,102.4493
1955-10,102.394
1955-11,102.2764
1955-12,102.0718
1956-01,101.7736
1956-02,101.4279
1956-03,101.0897
1956-04,100.7746
1956-05,100.5018
1956-06,100.3147
1956-07,100.2479
1956-08,100.3023
1956-09,100.4227
1956-10,100.5496
1956-11,100.6336
1956-12,100.6265
1957-01,100.5089
1957-02,100.3257
1957-03,100.0817
1957-04,99.81532
1957-05,99.55616
1957-06,99.27956
1957-07,98.95156
1957-08,98.55077
1957-09,98.08012
1957-10,97.5852
1957-11,97.13694
1957-12,96.79005
1958-01,96.60658
1958-02,96.62215
1958-03,96.83192
1958-04,97.21098
1958-05,97.74358
1958-06,98.3796
1958-07,99.05191
1958-08,99.71682
1958-09,100.3548
1958-10,100.9666
1958-11,101.5398
1958-12,102.0622
1959-01,102.534
1959-02,102.9103
1959-03,103.1486
1959-04,103.2234
1959-05,103.1269
1959-06,102.8702
1959-07,102.4968
1959-08,102.083
1959-09,101.7013
1959-10,101.3942
1959-11,101.1688
1959-12,100.9913
1960-01,100.7642
1960-02,100.4552
1960-03,100.1131
1960-04,99.78961
1960-05,99.50709
1960-06,99.26028
1960-07,99.02814
1960-08,98.80811
1960-09,98.59039
1960-10,98.40356
1960-11,98.28104
1960-12,98.25883
1961-01,98.35661
1961-02,98.59448
1961-03,98.9583
1961-04,99.39557
1961-05,99.84163
1961-06,100.2566
1961-07,100.614
1961-08,100.906
1961-09,101.1187
1961-10,101.2491
1961-11,101.304
1961-12,101.2705
1962-01,101.1414
1962-02,100.9352
1962-03,100.6546
1962-04,100.3255
1962-05,99.99332
1962-06,99.70411
1962-07,99.50462
1962-08,99.40375
1962-09,99.39935
1962-10,99.47745
1962-11,99.61959
1962-12,99.79095
1963-01,99.96041
1963-02,100.1074
1963-03,100.2233
1963-04,100.3043
1963-05,100.3349
1963-06,100.3148
1963-07,100.2659
1963-08,100.2153
1963-09,100.1874
1963-10,100.1778
1963-11,100.1817
1963-12,100.2128
1964-01,100.2831
1964-02,100.3697
1964-03,100.4659
