Date,Actual,Forecast,Previous
2024-12-16 00:00:00,48.3,49.4,49.7
2024-12-02 00:00:00,49.7,48.8,48.5
2024-11-22 00:00:00,48.8,48.8,48.5
2024-11-01 00:00:00,48.5,47.8,47.8
2024-10-24 00:00:00,47.8,47.5,47.3
2024-10-01 00:00:00,47.3,47.0,47.9
2024-09-23 00:00:00,47.0,48.6,47.9
2024-09-03 00:00:00,47.9,48.0,49.6
2024-08-22 00:00:00,48.0,49.5,49.6
2024-08-01 00:00:00,49.6,49.5,51.6
2024-07-24 00:00:00,49.5,51.7,51.6
2024-07-01 00:00:00,51.6,51.7,51.3
2024-06-21 00:00:00,51.7,51.0,51.3
2024-06-03 00:00:00,51.3,50.9,50.0
2024-05-23 00:00:00,50.9,50.0,50.0
2024-05-01 00:00:00,50.0,49.9,51.9
2024-04-23 00:00:00,49.9,52.0,51.9
2024-04-01 00:00:00,51.9,52.5,52.2
2024-03-21 00:00:00,52.5,51.8,52.2
2024-03-01 00:00:00,52.2,51.5,50.7
2024-02-22 00:00:00,51.5,50.5,50.7
2024-02-01 00:00:00,50.7,50.3,47.9
2024-01-24 00:00:00,50.3,47.9,47.9
2024-01-02 00:00:00,47.9,48.2,49.4
2023-12-15 00:00:00,48.2,49.3,49.4
2023-12-01 00:00:00,49.4,49.4,50.0
2023-11-24 00:00:00,49.4,49.8,50.0
2023-11-01 00:00:00,50.0,50.0,49.8
2023-10-24 00:00:00,50.0,49.5,49.8
2023-10-02 00:00:00,49.8,48.9,47.9
2023-09-22 00:00:00,48.9,48.0,47.9
2023-09-01 00:00:00,47.9,47.0,49.0
2023-08-23 00:00:00,47.0,49.3,49.0
2023-08-01 00:00:00,49.0,49.0,46.3
2023-07-24 00:00:00,49.0,46.4,46.3
2023-07-03 00:00:00,46.3,46.3,48.4
2023-06-23 00:00:00,46.3,48.5,48.4
2023-06-01 00:00:00,48.4,48.5,50.2
2023-05-23 00:00:00,48.5,50.0,50.2
2023-05-01 00:00:00,50.2,50.4,49.2
2023-04-21 00:00:00,50.4,49.0,49.2
2023-04-03 00:00:00,49.2,49.3,47.3
2023-03-24 00:00:00,49.3,47.0,47.3
2023-03-01 00:00:00,47.3,47.8,46.9
2023-02-21 00:00:00,47.8,47.1,46.9
2023-02-01 00:00:00,46.9,46.8,46.8
2023-01-24 00:00:00,46.8,46.0,46.2
2023-01-03 00:00:00,46.2,46.2,47.7
2022-12-16 00:00:00,46.2,47.7,47.7
2022-12-01 00:00:00,47.7,47.6,47.6
2022-11-23 00:00:00,47.6,50.0,50.4
2022-11-01 00:00:00,50.4,49.9,49.9
